lambda1,lambda2,epochs,train_sec,val_macro_f1_last,val_macro_f1_best,val_loss_last,val_loss_best,l_intra_last,l_inter_last,grad_var_last,grad_var_min,barren_plateau_any,barren_plateau_ok
0.0,0.0,5,359.65804447300616,0.28154933875443633,0.28154933875443633,1.7922976613044739,1.7922976613044739,0.1648478642915306,0.2625094898207589,0.0018306981588732138,0.00022453554868590207,False,True
0.66,0.33,5,363.0399585960258,0.27665737259854783,0.27665737259854783,1.9950035296600674,1.9950035296600674,0.1588926940839883,0.22278693110463638,0.0018821928538630581,0.00022453554868590207,False,True
0.66,0.0,5,359.25566565600457,0.2742521298579218,0.2742521298579218,1.9283432395290419,1.9283432395290419,0.16057999954523414,0.2693780756309892,0.002190991040264267,0.00022453554868590207,False,True
1.0,0.33,5,360.6950629479834,0.2714956325514257,0.2714956325514257,2.0485529076663838,2.023320734500885,0.15680817322781276,0.23567134766654235,0.00203036010252924,0.00022453554868590207,False,True
0.33,0.0,5,361.1648042279994,0.2680753401959231,0.2680753401959231,1.8563311657469996,1.8563311657469996,0.1618517529464673,0.2675097701738181,0.0019683742966356403,0.00022453554868590207,False,True
0.33,0.33,5,362.0052225969848,0.25533940112041414,0.25533940112041414,1.948288524948747,1.948288524948747,0.17397720814878298,0.18248425315662847,0.0014145319298396327,0.00022453554868590207,False,True
1.0,0.0,5,355.92572225199547,0.25055804866910086,0.25055804866910086,1.9883765518811924,1.9883765518811924,0.14984999041826028,0.2757066318888318,0.00206721360203967,0.00022453554868590207,False,True
0.0,0.33,5,361.0373988520005,0.24831620763258316,0.24831620763258316,1.8869423347932135,1.8869423347932135,0.18563984768655606,0.2052009067890739,0.0018492425468834013,0.00022453554868590207,False,True
0.66,0.66,5,361.09718341199914,0.22232194109691703,0.22232194109691703,2.0884512047732846,2.023320734500885,0.1979995721082474,0.14649072107746253,0.0019329378349978602,0.00022453554868590207,False,True
1.0,0.66,5,364.44612512300955,0.21039989666509862,0.21039989666509862,2.1622258258127838,2.023320734500885,0.14621381229571773,0.22081049735852087,0.001966452038666401,0.00022453554868590207,False,True
0.33,0.66,5,362.28999055101303,0.20567724178528723,0.20567724178528723,2.048722078981727,2.023320734500885,0.1855847082827254,0.15365618240727297,0.0027629788180164407,0.00022453554868590207,False,True
1.0,1.0,5,377.8387026240234,0.20354306375677783,0.20354306375677783,2.3158208055722356,2.023320734500885,0.18195958343880056,0.16317336788051381,0.0026103477791642373,0.00022453554868590207,False,True
0.0,0.66,5,365.84234193500015,0.19469496225917,0.19469496225917,2.037399494396617,2.023320734500885,0.17368387506548186,0.16183853357364955,0.0036601640540436745,0.00022453554868590207,False,True
0.0,1.0,5,365.3240465960116,0.18681542065492898,0.18681542065492898,2.0769294388885644,2.023320734500885,0.19306325862970597,0.1535966218921167,0.006651294841483402,0.00022453554868590207,False,True
0.66,1.0,5,363.0975798299769,0.17880597832694484,0.17880597832694484,2.268626728341037,2.023320734500885,0.1887775509399574,0.16505615725894524,0.0033498522263083062,0.00022453554868590207,False,True
0.33,1.0,5,358.3778855910059,0.129178369517867,0.129178369517867,2.224233150522705,2.023320734500885,0.18821999144037702,0.16565421951413722,0.003568065180076977,0.00022453554868590207,False,True
