lambda1,lambda2,epochs,train_sec,val_macro_f1_last,val_macro_f1_best,l_intra_last,l_inter_last,grad_var_last,grad_var_min,barren_plateau_any,barren_plateau_ok
1.0,0.0,10,1309.947761700998,0.20942480942480945,0.29347206738511084,0.37617080528217084,-0.4137741318007157,0.0,0.0,True,False
1.0,0.33,10,1276.7716464569967,0.20942480942480945,0.29347206738511084,0.37617080528217084,-0.4137741318007157,0.0,0.0,True,False
1.0,0.66,10,1271.5628103369963,0.20942480942480945,0.29347206738511084,0.37617080528217084,-0.4137741318007157,0.0,0.0,True,False
1.0,1.0,10,1269.7050390700024,0.20942480942480945,0.29347206738511084,0.37617080528217084,-0.4137741318007157,0.0,0.0,True,False
0.66,0.0,10,1240.7986681080001,0.20942480942480945,0.2904761904761905,0.37828886553014046,-0.4140868542282116,0.0,0.0,True,False
0.66,0.33,10,1191.149286412001,0.20942480942480945,0.2904761904761905,0.37828886553014046,-0.4140868542282116,0.0,0.0,True,False
0.66,0.66,10,2214.2611411239996,0.20942480942480945,0.2904761904761905,0.37828886553014046,-0.4140868542282116,0.0,0.0,True,False
0.66,1.0,10,1515.6237537279958,0.20942480942480945,0.2904761904761905,0.37828886553014046,-0.4140868542282116,0.0,0.0,True,False
0.33,0.0,10,1287.647734606995,0.2330071754729289,0.2904761904761905,0.380341724072957,-0.4148711500543458,0.0,0.0,True,False
0.33,0.33,10,1299.3778045459985,0.2330071754729289,0.2904761904761905,0.380341724072957,-0.4148711500543458,0.0,0.0,True,False
0.33,0.66,10,1280.0686241660005,0.2330071754729289,0.2904761904761905,0.380341724072957,-0.4148711500543458,0.0,0.0,True,False
0.33,1.0,10,1234.3963692670004,0.2330071754729289,0.2904761904761905,0.380341724072957,-0.4148711500543458,0.0,0.0,True,False
0.0,0.0,10,1208.6334998149978,0.18666666666666668,0.2024642024642025,0.37726920664865543,-0.41545861008510654,0.0,0.0,True,False
0.0,0.33,10,1248.9154497150012,0.18666666666666668,0.2024642024642025,0.37726920664865543,-0.41545861008510654,0.0,0.0,True,False
0.0,0.66,10,1241.2376880709999,0.18666666666666668,0.2024642024642025,0.37726920664865543,-0.41545861008510654,0.0,0.0,True,False
0.0,1.0,10,1221.7607479470025,0.18666666666666668,0.2024642024642025,0.37726920664865543,-0.41545861008510654,0.0,0.0,True,False
