lambda1,lambda2,epochs,train_sec,val_macro_f1_last,val_macro_f1_best,val_loss_last,val_loss_best,l_intra_last,l_inter_last,grad_var_last,grad_var_min,barren_plateau_any,barren_plateau_ok
0.33,0.66,5,709.4782658950135,0.7620258992996861,0.7620258992996861,0.20304988791683282,0.20304988791683282,0.19402022051895904,-0.6745963648507409,0.002136587618148194,0.00047797127748828403,False,True
1.0,1.0,5,710.3653484270035,0.7594318655362307,0.7594318655362307,0.10025926064756023,0.10025926064756023,0.18687908008245252,-0.6692937476817158,0.0022733426070075014,0.00047797127748828403,False,True
0.66,0.66,5,702.55298046401,0.7580329591048256,0.7580329591048256,0.2631212040496171,0.2631212040496171,0.18667602373752404,-0.6688300546745435,0.002275168113839188,0.00047797127748828403,False,True
1.0,0.0,5,704.431894882,0.7549320859872891,0.7549320859872891,0.7825244169992672,0.7825244169992672,0.1833882309012868,-0.6578414990920617,0.002104461012449266,0.00047797127748828403,False,True
0.0,0.0,5,697.1283915489912,0.7517437790356419,0.7517437790356419,0.5940514834303605,0.5940514834303605,0.1852024997907071,-0.6643331784917055,0.002065694435885801,0.00047797127748828403,False,True
0.66,0.0,5,707.192865880992,0.7510472135317755,0.7510472135317755,0.7217201706450806,0.7217201706450806,0.18383691559485038,-0.6589952887123923,0.0020545247111268742,0.00047797127748828403,False,True
0.0,0.33,5,700.4744260560255,0.7484720750251739,0.7484720750251739,0.4043961544418771,0.4043961544418771,0.1996398736250801,-0.6754438108975549,0.0017929914346261754,0.00047797127748828403,False,True
0.66,1.0,5,704.5864474809787,0.7462722080081292,0.7462722080081292,0.058850727595169794,0.058850727595169794,0.192761877092207,-0.6752622134581134,0.0020068958135911483,0.00047797127748828403,False,True
0.33,1.0,5,710.8441101470089,0.7438631959115902,0.7438631959115902,-0.013616494161751655,-0.013616494161751655,0.19792053129551415,-0.6775763226629985,0.002080395479141428,0.00047797127748828403,False,True
0.33,0.33,5,703.4769562300062,0.7436828609753664,0.7436828609753664,0.43458636585458355,0.43458636585458355,0.18548357024429918,-0.6665111343039264,0.0022499525533887297,0.00047797127748828403,False,True
0.33,0.0,5,704.0078685730114,0.7429448404952684,0.7429448404952684,0.6606768835354844,0.6606768835354844,0.18451664319608788,-0.6608508663007271,0.0020299176058124102,0.00047797127748828403,False,True
1.0,0.33,5,708.3393538300006,0.7425306747459458,0.7425306747459458,0.5669147640588819,0.5669147640588819,0.18384688042086322,-0.6611234735082255,0.002172201106981458,0.00047797127748828403,False,True
0.0,0.66,5,706.6700939830043,0.740810300235553,0.740810300235553,0.17392471052891048,0.17392471052891048,0.20381216444249403,-0.6803944872827301,0.0020461480571884205,0.00047797127748828403,False,True
1.0,0.66,5,705.3904520549986,0.7399970167355672,0.7399970167355672,0.3421272605533371,0.3421272605533371,0.18531172168487386,-0.6655394110569638,0.002310913159131368,0.00047797127748828403,False,True
0.66,0.33,5,703.0952458110114,0.7392274548649628,0.7392274548649628,0.5009335514918598,0.5009335514918598,0.1848339040716123,-0.6636259823615024,0.0021794389484242485,0.00047797127748828403,False,True
0.0,1.0,5,706.524684870994,0.7000161463230086,0.7000161463230086,-0.036436817789064345,-0.036436817789064345,0.19600379079303104,-0.6854267996538751,0.003422927002291457,0.00047797127748828403,False,True
